cbm_id,cbm_code,method_name,description,cbm_notes
1,VIB,Vibration Analysis,"Detects imbalance, misalignment, looseness, bearing faults",
4,MCSA,Motor Current Analysis,"Detects stator/rotor faults, load issues",
10,VIS,Visual Inspection,"Detects corrosion, cracks, wear, leaks",
11,ELEC,Electrical Signature,"Detects insulation faults, harmonics, unbalance",
12,LAS,Laser Alignment,Detects/corrects misalignment and soft foot,
13,NVH,Noise/Vibration/Harshness,Detects abnormal noise signatures,
14,PD,Partial Discharge,Detects high-voltage insulation defects,
15,TP,Thermophysical Tests,Detects jacket/plate fouling via heat balance,
16,UT,Ultrasonic Thickness,Detects corrosion/erosion wall loss,
18,LEAK,Leak Detection,Detects air/steam/product leaks,
19,ACC,Accelerometers,Detects dynamic vibration signatures,
20,PRESS,Manometer/Transducer,Pressure trend monitoring,
21,FLOWM,Mag/Coriolis Meters,Mass/volumetric flow monitoring,
22,SCADA,SCADA/PLC Trends,Combines tags for anomaly detection,
23,NDT-PT,Dye Penetrant,Surface-breaking crack detection,
24,NDT-MT,Mag Particle,Ferromagnetic crack detection,
25,NDT-RT,Radiography,"Internal defects, welds",
3,ULT,Ultrasound,"Detects cavitation, leakage, lubrication issues","Leak detection or pressure, vacuum or any gas. Steam traps. Valves."
26,MECH_UT,Mechanical Ultrasonic,"Bearing failure, lack of lubrication, over-lubrication",
5,MECH_OIL,Oil Analysis,"Detects wear debris, contamination, lubricant degradation",
2,MECH_IR,Mechanical Thermography,"Detects overheating, fouling, insulation loss",
27,ELEC_IR,Electrical Thermography,"Detects overheating, high resistance, insulation loss",
6,AE,Acoustic Emissions,"Detects crack growth, friction, impacts, corona, arching, sparking",Airborne ultrasound
7,PRES_MON,Pressure Monitoring,"Detects blockages, leaks, valve faults",
8,FLOW_MON,Flow Monitoring,"Detects pump degradation, valve sticking",
9,TEMP_MON,Temperature Monitoring,"Detects overheating, fouling, lubrication issues",
17,PART_MON,Particle Monitoring,Detects wear particle counts in fluids,
